paragraph,stemmed,tokenized,stemmed_and_tokenized
"f any employee or partner of the Insured for whose regular use the
described automobile is furnished and the Insured’s spouse and
any dependent relative of either residing in the dwelling
premises as such employee or partner while not ti",f ani employe or partner of the insur for whose regular use the describ automobil is furnish and the insur spous and ani depend relat of either resid in the dwell premis as such employe or partner while not ti,"f any employee or partner of the Insured for whose regular use the 
 describe automobile be furnish and the Insured ’s spouse and 
 any dependent relative of either reside in the dwell 
 premise as such employee or partner while not ti",f ani employe or partner of the insur for whose regular use the describ automobil be furnish and the insur spous and ani depend relat of either resid in the dwell premis as such employe or partner while not ti
"other automobile is not used for carrying passengers for
mpensation or hire or for commercial delivery",other automobil is not use for carri passeng for mpensat or hire or for commerci deliveri,"other automobile be not use for carry passenger for 
 mpensation or hire or for commercial delivery",other automobil be not use for carri passeng for mpensat or hire or for commerci deliveri
"ii who Is entitled to receive the benefits of any workers’ compensation
law or plan unless the Insured has exercised the Insured’s option to
recover damages as provided under the said law or plan",ii who is entitl to receiv the benefit of ani worker compens law or plan unless the insur has exercis the insur option to recov damag as provid under the said law or plan,"ii who be entitle to receive the benefit of any worker ’ compensation 
 law or plan unless the Insured have exercise the insured ’s option to 
 recover damage as provide under the say law or plan",ii who be entitl to receiv the benefit of ani worker compen law or plan unless the insur have exercis the insur option to recov damag as provid under the say law or plan
"b The Insurer shall not be liable under subsection 1 or Part Il of
subsection 2 of this section for bodily injury or death",b the insur shall not be liabl under subsect 1 or part il of subsect 2 of this section for bodili injuri or death,"b the Insurer shall not be liable under subsection 1 or Part Il of 
 subsection 2 of this section for bodily injury or death",b the insur shall not be liabl under subsect 1 or part il of subsect 2 of this section for bodili injuri or death
"ut express consent of Informco
driving or operating the automobile while in a condition for
which the Insured is convicted of an offense under Section
32014 operation of motor vehicle while impaired by alcohol or
a drug or by a combination of alcohol and a drug of the
Criminal Code Canada or under or in connection with the
circumstances of which the Insured is convicted of an offense
under Section 32015 failure or refusal to comply with demand
for testing for the presence of alcohol or a drug of the
Criminal Code Canada or",ut express consent of informco drive or oper the automobil while in a condit for which the insur is convict of an offens under section 32014 oper of motor vehicl while impair by alcohol or a drug or by a combin of alcohol and a drug of the crimin code canada or under or in connect with the circumst of which the insur is convict of an offens under section 32015 failur or refus to compli with demand for test for the presenc of alcohol or a drug of the crimin code canada or,"ut express consent of Informco 
 driving or operate the automobile while in a condition for 
 which the Insured be convict of an offense under section 
 32014 operation of motor vehicle while impair by alcohol or 
 a drug or by a combination of alcohol and a drug of the 
 Criminal Code Canada or under or in connection with the 
 circumstance of which the Insured be convict of an offense 
 under Section 32015 failure or refusal to comply with demand 
 for testing for the presence of alcohol or a drug of the 
 Criminal Code Canada or",ut express consent of informco drive or oper the automobil while in a condit for which the insur be convict of an offen under section 32014 oper of motor vehicl while impair by alcohol or a drug or by a combin of alcohol and a drug of the crimin code canada or under or in connect with the circumst of which the insur be convict of an offen under section 32015 failur or refus to compli with demand for test for the presenc of alcohol or a drug of the crimin code canada or
"ii sustained by any person driving the automobile who is not
for tha time being either authorizad by law or qualified to drive
the automobile",ii sustain by ani person drive the automobil who is not for tha time be either authorizad by law or qualifi to drive the automobil,"ii sustain by any person drive the automobile who be not 
 for tha time be either authorizad by law or qualified to drive 
 the automobile",ii sustain by ani person drive the automobil who be not for tha time be either authorizad by law or qualifi to drive the automobil
"The insured parson or the Insured’s agent or the person otherwise
entitled to make claim or the Insureds agent shall",the insur parson or the insur agent or the person otherwis entitl to make claim or the insur agent shall,"the insured parson or the Insured ’s agent or the person otherwise 
 entitle to make claim or the Insureds agent shall",the insur parson or the insur agent or the person otherwis entitl to make claim or the insur agent shall
"a give written notice of claim to the Insurer by delivery thereof or by
sending it by registered mail to the chief agency or head office of
the Insurer in the Province within 30 days from the date of the
accident or as soon as practicable thereafter",a give written notic of claim to the insur by deliveri thereof or by send it by regist mail to the chief agenc or head offic of the insur in the provinc within 30 day from the date of the accid or as soon as practic thereaft,"a give write notice of claim to the Insurer by delivery thereof or by 
 send it by registered mail to the chief agency or head office of 
 the Insurer in the Province within 30 day from the date of the 
 accident or as soon as practicable thereafter",a give write notic of claim to the insur by deliveri thereof or by send it by regist mail to the chief agenc or head offic of the insur in the provinc within 30 day from the date of the accid or as soon as practic thereaft
"c if so required by the Insurer furnisl
and natura of the accident for which th
duration of the disability caus",c if so requir by the insur furnisl and natura of the accid for which th durat of the disabl caus,"c if so require by the Insurer furnisl 
 and natura of the accident for which th 
 duration of the disability caus",c if so requir by the insur furnisl and natura of the accid for which th durat of the disabl caus
"5 MEDICAL REPORTS
The Insurer has the right and to the Insurar an
opportunity to examine insured person when and as
often as it reasonably re claim is pending and also in
the case of the death of th to make an autopsy subject
6 RELEASE
Notwith led for under the relevant sections of
the AufoR 8 ct the Insurer may demand as a condition
precede a  amount under this Section of the Policy a",5 medic report the insur has the right and to the insurar an opportun to examin insur person when and as often as it reason re claim is pend and also in the case of the death of th to make an autopsi subject 6 releas notwith led for under the relev section of the aufor 8 ct the insur may demand as a condit preced a amount under this section of the polici a,"5 MEDICAL report 
 the Insurer have the right and to the Insurar an 
 opportunity to examine insured person when and as 
 often as it reasonably re claim be pende and also in 
 the case of the death of th to make an autopsy subject 
 6 RELEASE 
 Notwith lead for under the relevant section of 
 the AufoR 8 ct the Insurer may demand as a condition 
 precede a   amount under this section of the Policy a",5 medic report the insur have the right and to the insurar an opportun to examin insur person when and as often as it reason re claim be pend and also in the case of the death of th to make an autopsi subject 6 relea notwith lead for under the relev section of the aufor 8 ct the insur may demand as a condit prece a amount under this section of the polici a
"release i sured and the Insurer from liability to the extent
from the insured parson or the Insured’s personal
or any other person",releas i sure and the insur from liabil to the extent from the insur parson or the insur person or ani other person,"release I sure and the Insurer from liability to the extent 
 from the insured parson or the Insured ’s personal 
 or any other person",relea I sure and the insur from liabil to the extent from the insur parson or the insur person or ani other person
"unts payable under this Section other than benefits under
of subsection 2 shall be paid by the Insurer within 30 days
er it has received proof of claim The initial benefits for loss of
income under Part Il of subsection 2 shall be paid within 30 days after
the Insurer has received proof of claim and payments shall be made
thereafter within each 30 day period while the Insurer remains liable
for payments if the insured person whenever required to do so
furnishes prior to payment proof of continuing disability",unt payabl under this section other than benefit under of subsect 2 shall be paid by the insur within 30 day er it has receiv proof of claim the initi benefit for loss of incom under part il of subsect 2 shall be paid within 30 day after the insur has receiv proof of claim and payment shall be made thereaft within each 30 day period while the insur remain liabl for payment if the insur person whenev requir to do so furnish prior to payment proof of continu disabl,"unt payable under this Section other than benefit under 
 of subsection 2 shall be pay by the Insurer within 30 day 
 er it have receive proof of claim the initial benefit for loss of 
 income under Part Il of subsection 2 shall be pay within 30 day after 
 the Insurer have receive proof of claim and payment shall be make 
 thereafter within each 30 day period while the Insurer remain liable 
 for payment if the insure person whenever require to do so 
 furnishe prior to payment proof of continue disability",unt payabl under this section other than benefit under of subsect 2 shall be pay by the insur within 30 day er it have receiv proof of claim the initi benefit for loss of incom under part il of subsect 2 shall be pay within 30 day after the insur have receiv proof of claim and payment shall be make thereaft within each 30 day period while the insur remain liabl for payment if the insur person whenev requir to do so furnish prior to payment proof of continu disabl
"b No person shall bring an action to recover the amount of a claim
under this Section unless the requirements of provisions 4 and 5
are complied with nor until the amount of the loss has been
ascertained as provided in this Section",b no person shall bring an action to recov the amount of a claim under this section unless the requir of provis 4 and 5 are compli with nor until the amount of the loss has been ascertain as provid in this section,"b no person shall bring an action to recover the amount of a claim 
 under this section unless the requirement of provision 4 and 5 
 be comply with nor until the amount of the loss have be 
 ascertain as provide in this section",b no person shall bring an action to recov the amount of a claim under this section unless the requir of provis 4 and 5 be compli with nor until the amount of the loss have be ascertain as provid in this section
"c Every action or proceeding against the Insurer for the recovery of a
claim under this Section shall be commenced within two years from
the date on which the cause of action arose and not afterwards",c everi action or proceed against the insur for the recoveri of a claim under this section shall be commenc within two year from the date on which the caus of action aros and not afterward,"c every action or proceeding against the Insurer for the recovery of a 
 claim under this section shall be commence within two year from 
 the date on which the cause of action arise and not afterwards",c everi action or proceed against the insur for the recoveri of a claim under this section shall be commenc within two year from the date on which the caus of action aro and not afterward
"8 LIMITATION ON BENEFIT PAYABLE
Where a person is entitled to benefits under more than one contract
providing insurance of the type set forth in subsection 2 the Insured or",8 limit on benefit payabl where a person is entitl to benefit under more than one contract provid insur of the type set forth in subsect 2 the insur or,"8 LIMITATION on benefit payable 
 where a person be entitle to benefit under more than one contract 
 provide insurance of the type set forth in subsection 2 the insured or",8 limit on benefit payabl where a person be entitl to benefit under more than one contract provid insur of the type set forth in subsect 2 the insur or
"ut express consent of Informco
the Insured’s personal representative or any person claiming through or
under the Insured by virtue of the Fatal Accidents Act or the Survivorship
Act may recover only an amount equal to one benefit if the benefits
under the contracts are of the same limit or the highest benefit if the
benefits under the contracts are not of the same limit",ut express consent of informco the insur person repres or ani person claim through or under the insur by virtu of the fatal accid act or the survivorship act may recov onli an amount equal to one benefit if the benefit under the contract are of the same limit or the highest benefit if the benefit under the contract are not of the same limit,"ut express consent of Informco 
 the Insured ’s personal representative or any person claim through or 
 under the insure by virtue of the Fatal Accidents Act or the survivorship 
 Act may recover only an amount equal to one benefit if the benefit 
 under the contract be of the same limit or the high benefit if the 
 benefit under the contract be not of the same limit",ut express consent of informco the insur person repre or ani person claim through or under the insur by virtu of the fatal accid act or the survivorship act may recov onli an amount equal to one benefit if the benefit under the contract be of the same limit or the high benefit if the benefit under the contract be not of the same limit
"Insofar as applicable the general provisions definitions exclusions
and statutory conditions of tha Policy also apply",insofar as applic the general provis definit exclus and statutori condit of tha polici also appli,"insofar as applicable the general provision definition exclusion 
 and statutory condition of tha Policy also apply",insofar as applic the general provis definit exclus and statutori condit of tha polici also appli
"The Insurer agrees to indemnify the Insured against direct and accidental
loss of or damage to the automobile including its equipment
Subsection 1 — ALL PERILS  from all perlis",the insur agre to indemnifi the insur against direct and accident loss of or damag to the automobil includ it equip subsect 1 — all peril from all per,"the Insurer agree to indemnify the Insured against direct and accidental 
 loss of or damage to the automobile include its equipment 
 Subsection 1 — all PERILS   from all perli",the insur agre to indemnifi the insur against direct and accident loss of or damag to the automobil includ it equip subsect 1 — all peril from all per
"Subsection 3 — COMPREHENSIVE  from any peril other than by
collision with another object or by upset",subsect 3 — comprehens from ani peril other than by collis with anoth object or by upset,"subsection 3 — COMPREHENSIVE   from any peril other than by 
 collision with another object or by upset",subsect 3 — comprehen from ani peril other than by colli with anoth object or by upset
"The words “another object” as used in this subsection 3 sh deemed to
include a a vehicle to which the automobile is attached",the word “anoth object” as use in this subsect 3 sh deem to includ a a vehicl to which the automobil is attach,"the word "" another object "" as use in this subsection 3 sh deem to 
 include a a vehicle to which the automobile be attach","the word "" anoth object "" as use in this subsect 3 sh deem to includ a a vehicl to which the automobil be attach"
"explosion earthquake windstorm hail rising
or civil commotion shall be deemed loss or
which insurance is provided under this sub",explos earthquak windstorm hail rise or civil commot shall be deem loss or which insur is provid under this sub,"explosion earthquake windstorm hail rise 
 or civil commotion shall be deem loss or 
 which insurance be provide under this sub",explos earthquak windstorm hail rise or civil commot shall be deem loss or which insur be provid under this sub
"thereat windstorm earthquake hail
or forced landing of aircraft or of
sinking burning derailment
the automobile is being trans",thereat windstorm earthquak hail or forc land of aircraft or of sink burn derail the automobil is be tran,"thereat windstorm earthquake hail 
 or force landing of aircraft or of 
 sink burn derailment 
 the automobile be be tran",thereat windstorm earthquak hail or forc land of aircraft or of sink burn derail the automobil be be tran
"ered under any subsection of
ed by fire or lightning or theft of the
ection shall give rise to a separate
claim in respex hi rer’s liability shall be limited to the amount",ere under ani subsect of ed by fire or lightn or theft of the ection shall give rise to a separ claim in respex hi rer liabil shall be limit to the amount,"ere under any subsection of 
 ed by fire or lightning or theft of the 
 ection shall give rise to a separate 
 claim in respex hi rer ’s liability shall be limit to the amount",ere under ani subsect of ed by fire or lightn or theft of the ection shall give rise to a separ claim in respex hi rer liabil shall be limit to the amount
"to which Section 321 of the Automobile Insurance Act
n — Property Damage applies the deductible under this
amount if any stated in the applicable subsection of
4 of the application multiplied by the percentage to which
automobile was determined to be at fault under the Direct
— Property Damage Fault Determination Rules",to which section 321 of the automobil insur act n — properti damag appli the deduct under this amount if ani state in the applic subsect of 4 of the applic multipli by the percentag to which automobil was determin to be at fault under the direct — properti damag fault determin rule,"to which section 321 of the Automobile Insurance Act 
 n — Property Damage apply the deductible under this 
 amount if any state in the applicable subsection of 
 4 of the application multiply by the percentage to which 
 automobile be determined to be at fault under the direct 
 — Property Damage Fault Determination rule",to which section 321 of the automobil insur act n — properti damag appli the deduct under this amount if ani state in the applic subsect of 4 of the applic multipli by the percentag to which automobil be determin to be at fault under the direct — properti damag fault determin rule
"a to tires or consisting of or caused by mechanical fracture or
breakdown of any part of the automobile or by rusting corrosion
wear and tear freezing or explosion within the combustion
chamber unless the loss or damage is coincident with other loss or
damage covered by such subsection or is caused by fire theft or
malicious mischief covered by such subsection",a to tire or consist of or caus by mechan fractur or breakdown of ani part of the automobil or by rust corros wear and tear freez or explos within the combust chamber unless the loss or damag is coincid with other loss or damag cover by such subsect or is caus by fire theft or malici mischief cover by such subsect,"a to tire or consist of or cause by mechanical fracture or 
 breakdown of any part of the automobile or by rust corrosion 
 wear and tear freezing or explosion within the combustion 
 chamber unless the loss or damage be coincident with other loss or 
 damage cover by such subsection or be cause by fire theft or 
 malicious mischief cover by such subsection",a to tire or consist of or caus by mechan fractur or breakdown of ani part of the automobil or by rust corro wear and tear freez or explo within the combust chamber unless the loss or damag be coincid with other loss or damag cover by such subsect or be caus by fire theft or malici mischief cover by such subsect
"b caused by the conversion embezzlement theft or secretion by any
person in lawful possession of the automobile under a mortgage
conditional sale lease or other similar written agreement or",b caus by the convers embezzl theft or secret by ani person in law possess of the automobil under a mortgag condit sale leas or other similar written agreement or,"b cause by the conversion embezzlement theft or secretion by any 
 person in lawful possession of the automobile under a mortgage 
 conditional sale lease or other similar write agreement or",b caus by the conver embezzl theft or secret by ani person in law possess of the automobil under a mortgag condit sale lea or other similar write agreement or
"c caused by the voluntary parting with title or ownership whether or
not induced to do so by any fraudulent scheme trick device or false
pretense",c caus by the voluntari part with titl or ownership whether or not induc to do so by ani fraudul scheme trick devic or fals pretens,"c cause by the voluntary parting with title or ownership whether or 
 not induce to do so by any fraudulent scheme trick device or false 
 pretense",c caus by the voluntari part with titl or ownership whether or not induc to do so by ani fraudul scheme trick devic or fal preten
"ut express consent of Informco
d caused directly or indirectly by contamination by radioactive
material",ut express consent of informco d caus direct or indirect by contamin by radioact materi,"ut express consent of Informco 
 d cause directly or indirectly by contamination by radioactive 
 material",ut express consent of informco d caus direct or indirect by contamin by radioact materi
"f to tapes and equipment for use with a tape player or recorder when
such tapes or equipment are detached therefrom
g where the Insured drives or operates the automobile
i while under the influence of intoxicating liquor or drugs to such
an extent as to be for the time being incapable of the proper
control of the automobile",f to tape and equip for use with a tape player or record when such tape or equip are detach therefrom g where the insur drive or oper the automobil i while under the influenc of intox liquor or drug to such an extent as to be for the time be incap of the proper control of the automobil,"f to tape and equipment for use with a tape player or recorder when 
 such tape or equipment be detach therefrom 
 g where the insured drive or operate the automobile 
 I while under the influence of intoxicate liquor or drug to such 
 an extent as to be for the time be incapable of the proper 
 control of the automobile",f to tape and equip for use with a tape player or record when such tape or equip be detach therefrom g where the insur drive or oper the automobil I while under the influenc of intox liquor or drug to such an extent as to be for the time be incap of the proper control of the automobil
"I while In a condition for which the Insured Is convicted of an
offense under Section 32014 operation of the motor vehicle
while impaired by alcohol or a drug or by a combination of
alcohol and a drug of the Criminal Code Canada or under
ar in connection with the circumstances of which the Insured is
convicted of an offense under Section 32015 failure or refusal
to comply with demand for testing for the presence of alcohol
or a drug of the Criminal Code Canada or",i while in a condit for which the insur is convict of an offens under section 32014 oper of the motor vehicl while impair by alcohol or a drug or by a combin of alcohol and a drug of the crimin code canada or under ar in connect with the circumst of which the insur is convict of an offens under section 32015 failur or refus to compli with demand for test for the presenc of alcohol or a drug of the crimin code canada or,"I while in a condition for which the Insured be convict of an 
 offense under Section 32014 operation of the motor vehicle 
 while impair by alcohol or a drug or by a combination of 
 alcohol and a drug of the Criminal Code Canada or under 
 ar in connection with the circumstance of which the Insured be 
 convict of an offense under Section 32015 failure or refusal 
 to comply with demand for testing for the presence of alcohol 
 or a drug of the Criminal Code Canada or",I while in a condit for which the insur be convict of an offen under section 32014 oper of the motor vehicl while impair by alcohol or a drug or by a combin of alcohol and a drug of the crimin code canada or under ar in connect with the circumst of which the insur be convict of an offen under section 32015 failur or refus to compli with demand for test for the presenc of alcohol or a drug of the crimin code canada or
"h where the Insured permits suffers allows or connivas at tha use of
the automobile by any person contrary to the provisions of g",h where the insur permit suffer allow or conniva at tha use of the automobil by ani person contrari to the provis of g,"h where the insured permit suffer allow or connivas at tha use of 
 the automobile by any person contrary to the provision of g",h where the insur permit suffer allow or conniva at tha use of the automobil by ani person contrari to the provis of g
"2 under subsections 3 Comprehensive 4 Specifies
or damage caused by theft by any person or perso
same dwelling premises as the Insured or by any el
Insured engaged in the operation
automobile whether the theft occurs durin
employment or not",2 under subsect 3 comprehens 4 specifi or damag caus by theft by ani person or perso same dwell premis as the insur or by ani el insur engag in the oper automobil whether the theft occur durin employ or not,"2 under subsection 3 Comprehensive 4 specifie 
 or damage cause by theft by any person or perso 
 same dwelling premise as the insured or by any el 
 Insured engage in the operation 
 automobile whether the theft occur durin 
 employment or not",2 under subsect 3 comprehens 4 specifi or damag caus by theft by ani person or perso same dwell premis as the insur or by ani el insur engag in the oper automobil whether the theft occur durin employ or not
"inst every person who with the insured’s
ody or control of the automobile provided
is walVer shall not apply to any person 1 having such
ody or control in the coursa of tha business of selling
aintaining servicing storing or parking automobiles or
i committed a breach of any condition of this Policy or
n or operated the automobile in the circumstances referred
or ii of paragraph g of the Exclusions to Section C of this",inst everi person who with the insur odi or control of the automobil provid is walver shall not appli to ani person 1 have such odi or control in the coursa of tha busi of sell aintain servic store or park automobil or i commit a breach of ani condit of this polici or n or oper the automobil in the circumst refer or ii of paragraph g of the exclus to section c of this,"inst every person who with the insure ’s 
 ody or control of the automobile provide 
 be walver shall not apply to any person 1 have such 
 ody or control in the coursa of tha business of sell 
 aintaine servicing storing or parking automobile or 
 I commit a breach of any condition of this policy or 
 n or operate the automobile in the circumstance refer 
 or ii of paragraph g of the Exclusions to Section C of this",inst everi person who with the insur odi or control of the automobil provid be walver shall not appli to ani person 1 have such odi or control in the coursa of tha busi of sell aintain servic store or park automobil or I commit a breach of ani condit of this polici or n or oper the automobil in the circumst refer or ii of paragraph g of the exclus to section c of this
"c to indemnify the Insured and any other person wha personally
drives a temporary substitute automobile as defined in the General
Provisions of this Policy against the liability imposed by law or
assumed by the Insured or such other person under any contract or
agreement for direct and accidental physical loss or damage to such
automobile and arising from the care custody and control thereof
provided always that",c to indemnifi the insur and ani other person wha person drive a temporari substitut automobil as defin in the general provis of this polici against the liabil impos by law or assum by the insur or such other person under ani contract or agreement for direct and accident physic loss or damag to such automobil and aris from the care custodi and control thereof provid alway that,"c to indemnify the Insured and any other person wha personally 
 drive a temporary substitute automobile as define in the general 
 Provisions of this policy against the liability impose by law or 
 assume by the insured or such other person under any contract or 
 agreement for direct and accidental physical loss or damage to such 
 automobile and arise from the care custody and control thereof 
 provide always that",c to indemnifi the insur and ani other person wha person drive a temporari substitut automobil as defin in the general provis of this polici against the liabil impos by law or assum by the insur or such other person under ani contract or agreement for direct and accident physic loss or damag to such automobil and aris from the care custodi and control thereof provid alway that
"ii if the owner of such automobile has or places insurance against
any peril insured by this Section the indemnity provided herein
shall be limited to the sum by which the deductible amount If
any of such other insurance exceeds the deductible amount
stated in the applicable subsection of this Policy",ii if the owner of such automobil has or place insur against ani peril insur by this section the indemn provid herein shall be limit to the sum by which the deduct amount if ani of such other insur exceed the deduct amount state in the applic subsect of this polici,"ii if the owner of such automobile have or place insurance against 
 any peril insure by this section the indemnity provide herein 
 shall be limit to the sum by which the deductible amount if 
 any of such other insurance exceed the deductible amount 
 state in the applicable subsection of this policy",ii if the owner of such automobil have or place insur against ani peril insur by this section the indemn provid herein shall be limit to the sum by which the deduct amount if ani of such other insur exceed the deduct amount state in the applic subsect of this polici
"ii the Additional Agreements under Section A of this Policy shall
Insofar as they are applicable extend to the Indemnity provided
herein",ii the addit agreement under section a of this polici shall insofar as they are applic extend to the indemn provid herein,"ii the Additional agreement under Section a of this policy shall 
 insofar as they be applicable extend to the indemnity provide 
 herein",ii the addit agreement under section a of this polici shall insofar as they be applic extend to the indemn provid herein
"ut express consent of Informco
2 Loss of Use by Theft — Where indemnity is provided under subsections
1 3 or 4 of Section GC hereof tha Insurer further agrees following a theft
of the entire automobile covered thereby to reimburse the Insured for
expense not excaeding 3000 for any one day nor totalling more than
90000 incurred for the rental of a substitute automobile including
taxicabs and public means of transportation",ut express consent of informco 2 loss of use by theft — where indemn is provid under subsect 1 3 or 4 of section gc hereof tha insur further agre follow a theft of the entir automobil cover therebi to reimburs the insur for expens not excaed 3000 for ani one day nor total more than 90000 incur for the rental of a substitut automobil includ taxicab and public mean of transport,"ut express consent of Informco 
 2 loss of Use by Theft — where indemnity be provide under subsection 
 1 3 or 4 of Section GC hereof tha Insurer far agree follow a theft 
 of the entire automobile cover thereby to reimburse the Insured for 
 expense not excaede 3000 for any one day nor total more than 
 90000 incur for the rental of a substitute automobile include 
 taxicab and public mean of transportation",ut express consent of informco 2 loss of use by theft — where indemn be provid under subsect 1 3 or 4 of section gc hereof tha insur far agre follow a theft of the entir automobil cover therebi to reimbur the insur for expen not excaed 3000 for ani one day nor total more than 90000 incur for the rental of a substitut automobil includ taxicab and public mean of transport
"Reimbursement is limited to such expanse incurred during the period
commencing 72 hours after such theft has been reported to the Insurer
or the police and terminating regardless of the expiration of the policy
period a upon the date of the completion of repairs to or the
replacement of the property lost or damaged or b upon such earlier
date as the Insurer makes or tenders settlement for the loss or damage
caused by such theft",reimburs is limit to such expans incur dure the period commenc 72 hour after such theft has been report to the insur or the polic and termin regardless of the expir of the polici period a upon the date of the complet of repair to or the replac of the properti lost or damag or b upon such earlier date as the insur make or tender settlement for the loss or damag caus by such theft,"reimbursement be limit to such expanse incur during the period 
 commence 72 hour after such theft have be report to the Insurer 
 or the police and terminate regardless of the expiration of the policy 
 period a upon the date of the completion of repair to or the 
 replacement of the property lose or damage or b upon such early 
 date as the Insurer make or tender settlement for the loss or damage 
 cause by such theft",reimbur be limit to such expans incur dure the period commenc 72 hour after such theft have be report to the insur or the polic and termin regardless of the expir of the polici period a upon the date of the complet of repair to or the replac of the properti lose or damag or b upon such early date as the insur make or tender settlement for the loss or damag caus by such theft
"the Insured named in the contract is a corporation
nincorporated association or partnership a director
officer employee or partner of the Insured named in the
contract for whose regular use the insured automobile is
furnished and if residing in the same dwelling place his
or her spouse or a dependent relative while driving being
carried in or upon or entering or getting on to or alighting
from an uninsured automobile or who is struck by an
uninsured or unidentified automobile if that director
officer employee or partner or his or her spouse is not the
owner of an automobile insured under a contract",the insur name in the contract is a corpor nincorpor associ or partnership a director offic employe or partner of the insur name in the contract for whose regular use the insur automobil is furnish and if resid in the same dwell place his or her spous or a depend relat while drive be carri in or upon or enter or get on to or alight from an uninsur automobil or who is struck by an uninsur or unidentifi automobil if that director offic employe or partner or his or her spous is not the owner of an automobil insur under a contract,"the Insured name in the contract be a corporation 
 nincorporate association or partnership a director 
 officer employee or partner of the Insured name in the 
 contract for whose regular use the insure automobile be 
 furnished and if reside in the same dwelling place his 
 or her spouse or a dependent relative while drive be 
 carry in or upon or enter or get on to or alight 
 from an uninsured automobile or who be strike by an 
 uninsured or unidentified automobile if that director 
 officer employee or partner or his or her spouse be not the 
 owner of an automobile insure under a contract",the insur name in the contract be a corpor nincorpor associ or partnership a director offic employe or partner of the insur name in the contract for whose regular use the insur automobil be furnish and if resid in the same dwell place his or her spous or a depend relat while drive be carri in or upon or enter or get on to or alight from an uninsur automobil or who be strike by an uninsur or unidentifi automobil if that director offic employe or partner or his or her spous be not the owner of an automobil insur under a contract
"¢ “unidentified automobile” means an automobile with respect to which
the identity of either the owner or driver cannot be ascertained",¢ “unidentifi automobile” mean an automobil with respect to which the ident of either the owner or driver cannot be ascertain,"¢ "" unidentified automobile "" mean an automobile with respect to which 
 the identity of either the owner or driver can not be ascertain","¢ "" unidentifi automobile "" mean an automobil with respect to which the ident of either the owner or driver can not be ascertain"
"d “uninsured automobile” means an automobile with respect to which
neither the owner nor driver of it has applicable and collectible bodily
injury liability and property damage liability insurance for its ownership
use or operation but does not include an automobile owned by or
registered in the name of the Insured or his or her spouse",d “uninsur automobile” mean an automobil with respect to which neither the owner nor driver of it has applic and collect bodili injuri liabil and properti damag liabil insur for it ownership use or oper but doe not includ an automobil own by or regist in the name of the insur or his or her spous,"d "" uninsured automobile "" mean an automobile with respect to which 
 neither the owner nor driver of it have applicable and collectible bodily 
 injury liability and property damage liability insurance for its ownership 
 use or operation but do not include an automobile own by or 
 register in the name of the Insured or his or her spouse","d "" uninsur automobile "" mean an automobil with respect to which neither the owner nor driver of it have applic and collect bodili injuri liabil and properti damag liabil insur for it ownership use or oper but doe not includ an automobil own by or regist in the name of the insur or his or her spous"
"a a person insured under the contract is legally entitled to
recover from the owner or driver of an uninsured automobile or
unidentified automobile as damages for bodily injuries resulting
from an accident involving an automobile",a a person insur under the contract is legal entitl to recov from the owner or driver of an uninsur automobil or unidentifi automobil as damag for bodili injuri result from an accid involv an automobil,"a a person insure under the contract be legally entitle to 
 recover from the owner or driver of an uninsured automobile or 
 unidentified automobile as damage for bodily injury result 
 from an accident involve an automobile",a a person insur under the contract be legal entitl to recov from the owner or driver of an uninsur automobil or unidentifi automobil as damag for bodili injuri result from an accid involv an automobil
"b a person is legally entitled to recover from the owner or driver
of an uninsured automobile or unidentified automobile as
damages for bodily injury to or the death of a person insured
under the contract resulting from an accident involving an
automoblle and",b a person is legal entitl to recov from the owner or driver of an uninsur automobil or unidentifi automobil as damag for bodili injuri to or the death of a person insur under the contract result from an accid involv an automobll and,"b a person be legally entitle to recover from the owner or driver 
 of an uninsured automobile or unidentified automobile as 
 damage for bodily injury to or the death of a person insure 
 under the contract result from an accident involve an 
 automoblle and",b a person be legal entitl to recov from the owner or driver of an uninsur automobil or unidentifi automobil as damag for bodili injuri to or the death of a person insur under the contract result from an accid involv an automobll and
"c a person insured under the contract is legally entitled to recover
from the identified owner or driver of an uninsured automobile
as damages for accidental damage to the insured automobile
or its contents or to both the insured automobile and its
contents resulting from an accident involving an automobile",c a person insur under the contract is legal entitl to recov from the identifi owner or driver of an uninsur automobil as damag for accident damag to the insur automobil or it content or to both the insur automobil and it content result from an accid involv an automobil,"c a person insure under the contract be legally entitle to recover 
 from the identified owner or driver of an uninsured automobile 
 as damage for accidental damage to the insured automobile 
 or its content or to both the insured automobile and its 
 content result from an accident involve an automobile",c a person insur under the contract be legal entitl to recov from the identifi owner or driver of an uninsur automobil as damag for accident damag to the insur automobil or it content or to both the insur automobil and it content result from an accid involv an automobil
"2 A depandent relative referrad to in the definition “person insurad
under the contract” in Section | of this Schedule",2 a depand relat referrad to in the definit “person insurad under the contract” in section | of this schedul,"2 a depandent relative referrad to in the definition "" person insurad 
 under the contract "" in Section | of this schedule","2 a depand relat referrad to in the definit "" person insurad under the contract "" in section | of this schedul"
"the minimum li
liability policy e
0 where Jurisdiction other than the
i the accident a total amount in",the minimum li liabil polici e 0 where jurisdict other than the i the accid a total amount in,"the minimum li 
 liability policy e 
 0 where Jurisdiction other than the 
 I the accident a total amount in",the minimum li liabil polici e 0 where jurisdict other than the I the accid a total amount in
